service_id,date,exception_type
2.282,20100505,1
7.282,20100505,1
A.282,20100505,1
G.282,20100505,1
W.282,20100505,1
e.282,20100505,1
f.282,20100505,1
g.282,20100505,1
p.282,20100505,1
2.282,20100506,1
7.282,20100506,1
A.282,20100506,1
E.282,20100506,1
G.282,20100506,1
W.282,20100506,1
e.282,20100506,1
f.282,20100506,1
p.282,20100506,1
2.282,20100507,1
7.282,20100507,1
A.282,20100507,1
E.282,20100507,1
F.282,20100507,1
G.282,20100507,1
P.282,20100507,1
W.282,20100507,1
e.282,20100507,1
8.282,20100508,1
B.282,20100508,1
K.282,20100508,1
S.282,20100508,1
C.285,20100509,1
U.285,20100509,1
k.285,20100509,1
2.285,20100510,1
7.285,20100510,1
A.285,20100510,1
E.285,20100510,1
G.285,20100510,1
W.285,20100510,1
e.285,20100510,1
f.285,20100510,1
p.285,20100510,1
2.285,20100511,1
7.285,20100511,1
A.285,20100511,1
E.285,20100511,1
G.285,20100511,1
W.285,20100511,1
e.285,20100511,1
f.285,20100511,1
p.285,20100511,1
2.285,20100512,1
7.285,20100512,1
A.285,20100512,1
G.285,20100512,1
W.285,20100512,1
e.285,20100512,1
f.285,20100512,1
g.285,20100512,1
p.285,20100512,1
2.285,20100513,1
7.285,20100513,1
A.285,20100513,1
E.285,20100513,1
G.285,20100513,1
W.285,20100513,1
e.285,20100513,1
f.285,20100513,1
p.285,20100513,1
2.285,20100514,1
7.285,20100514,1
A.285,20100514,1
E.285,20100514,1
F.285,20100514,1
G.285,20100514,1
P.285,20100514,1
W.285,20100514,1
e.285,20100514,1
8.285,20100515,1
B.285,20100515,1
K.285,20100515,1
S.285,20100515,1
C.285,20100516,1
U.285,20100516,1
k.285,20100516,1
2.285,20100517,1
7.285,20100517,1
A.285,20100517,1
E.285,20100517,1
G.285,20100517,1
W.285,20100517,1
e.285,20100517,1
f.285,20100517,1
p.285,20100517,1
2.285,20100518,1
7.285,20100518,1
A.285,20100518,1
E.285,20100518,1
G.285,20100518,1
W.285,20100518,1
e.285,20100518,1
f.285,20100518,1
p.285,20100518,1
2.285,20100519,1
7.285,20100519,1
A.285,20100519,1
G.285,20100519,1
W.285,20100519,1
e.285,20100519,1
f.285,20100519,1
g.285,20100519,1
p.285,20100519,1
2.285,20100520,1
7.285,20100520,1
A.285,20100520,1
E.285,20100520,1
G.285,20100520,1
W.285,20100520,1
e.285,20100520,1
f.285,20100520,1
p.285,20100520,1
2.285,20100521,1
7.285,20100521,1
A.285,20100521,1
E.285,20100521,1
F.285,20100521,1
G.285,20100521,1
P.285,20100521,1
W.285,20100521,1
e.285,20100521,1
8.285,20100522,1
B.285,20100522,1
K.285,20100522,1
S.285,20100522,1
C.285,20100523,1
U.285,20100523,1
k.285,20100523,1
2.285,20100524,1
7.285,20100524,1
A.285,20100524,1
E.285,20100524,1
G.285,20100524,1
W.285,20100524,1
e.285,20100524,1
f.285,20100524,1
p.285,20100524,1
2.285,20100525,1
7.285,20100525,1
A.285,20100525,1
E.285,20100525,1
G.285,20100525,1
W.285,20100525,1
e.285,20100525,1
f.285,20100525,1
p.285,20100525,1
2.285,20100526,1
7.285,20100526,1
A.285,20100526,1
G.285,20100526,1
W.285,20100526,1
e.285,20100526,1
f.285,20100526,1
g.285,20100526,1
p.285,20100526,1
2.285,20100527,1
7.285,20100527,1
A.285,20100527,1
E.285,20100527,1
G.285,20100527,1
W.285,20100527,1
e.285,20100527,1
f.285,20100527,1
p.285,20100527,1
2.285,20100528,1
7.285,20100528,1
A.285,20100528,1
E.285,20100528,1
F.285,20100528,1
G.285,20100528,1
P.285,20100528,1
W.285,20100528,1
e.285,20100528,1
8.285,20100529,1
B.285,20100529,1
K.285,20100529,1
S.285,20100529,1
C.285,20100530,1
U.285,20100530,1
k.285,20100530,1
X.285,20100531,1
2.285,20100601,1
7.285,20100601,1
A.285,20100601,1
E.285,20100601,1
G.285,20100601,1
W.285,20100601,1
e.285,20100601,1
f.285,20100601,1
p.285,20100601,1
t.285,20100601,1
2.285,20100602,1
7.285,20100602,1
A.285,20100602,1
G.285,20100602,1
W.285,20100602,1
e.285,20100602,1
f.285,20100602,1
g.285,20100602,1
p.285,20100602,1
t.285,20100602,1
2.285,20100603,1
7.285,20100603,1
A.285,20100603,1
E.285,20100603,1
G.285,20100603,1
W.285,20100603,1
e.285,20100603,1
