fare_id,route_id,contains_id
1,1,1
2,1,2
4,1,1
4,1,2
1,4,1
2,4,2
3,4,3
4,4,1
4,4,2
5,4,1
5,4,3
6,4,2
6,4,3
7,4,1
7,4,2
7,4,3
1,6,1
2,6,2
4,6,1
4,6,2
1,8,1
2,8,2
4,8,1
4,8,2
1,9,1
2,9,2
3,9,3
4,9,1
4,9,2
5,9,1
5,9,3
6,9,2
6,9,3
7,9,1
7,9,2
7,9,3
1,10,1
2,10,2
3,10,3
4,10,1
4,10,2
5,10,1
5,10,3
6,10,2
6,10,3
7,10,1
7,10,2
7,10,3
1,12,1
2,12,2
3,12,3
4,12,1
4,12,2
5,12,1
5,12,3
6,12,2
6,12,3
7,12,1
7,12,2
7,12,3
1,13,1
1,14,1
2,14,2
3,14,3
4,14,1
4,14,2
5,14,1
5,14,3
6,14,2
6,14,3
7,14,1
7,14,2
7,14,3
1,15,1
2,15,2
3,15,3
4,15,1
4,15,2
5,15,1
5,15,3
6,15,2
6,15,3
7,15,1
7,15,2
7,15,3
1,16,1
2,16,2
4,16,1
4,16,2
1,17,1
2,17,2
3,17,3
4,17,1
4,17,2
5,17,1
5,17,3
6,17,2
6,17,3
7,17,1
7,17,2
7,17,3
1,18,1
1,19,1
2,19,2
3,19,3
4,19,1
4,19,2
5,19,1
5,19,3
6,19,2
6,19,3
7,19,1
7,19,2
7,19,3
1,20,1
2,20,2
3,20,3
4,20,1
4,20,2
5,20,1
5,20,3
6,20,2
6,20,3
7,20,1
7,20,2
7,20,3
3,22,3
3,23,3
1,24,1
2,24,2
3,24,3
4,24,1
4,24,2
5,24,1
5,24,3
6,24,2
6,24,3
7,24,1
7,24,2
7,24,3
3,25,3
3,27,3
3,28,3
3,29,3
3,30,3
1,31,1
2,31,2
3,31,3
4,31,1
4,31,2
5,31,1
5,31,3
6,31,2
6,31,3
7,31,1
7,31,2
7,31,3
1,32,1
2,32,2
3,32,3
4,32,1
4,32,2
5,32,1
5,32,3
6,32,2
6,32,3
